# Any copyright is dedicated to the Public Domain.
# http://creativecommons.org/publicdomain/zero/1.0/
#
# For details on map-ibm866.txt see the Encoding Standard
# http://dvcs.w3.org/hg/encoding/raw-file/tip/Overview.html

0x80	0x0410	#CYRILLIC CAPITAL LETTER A
0x81	0x0411	#CYRILLIC CAPITAL LETTER BE
0x82	0x0412	#CYRILLIC CAPITAL LETTER VE
0x83	0x0413	#CYRILLIC CAPITAL LETTER GHE
0x84	0x0414	#CYRILLIC CAPITAL LETTER DE
0x85	0x0415	#CYRILLIC CAPITAL LETTER IE
0x86	0x0416	#CYRILLIC CAPITAL LETTER ZHE
0x87	0x0417	#CYRILLIC CAPITAL LETTER ZE
0x88	0x0418	#CYRILLIC CAPITAL LETTER I
0x89	0x0419	#CYRILLIC CAPITAL LETTER SHORT I
0x8A	0x041A	#CYRILLIC CAPITAL LETTER KA
0x8B	0x041B	#CYRILLIC CAPITAL LETTER EL
0x8C	0x041C	#CYRILLIC CAPITAL LETTER EM
0x8D	0x041D	#CYRILLIC CAPITAL LETTER EN
0x8E	0x041E	#CYRILLIC CAPITAL LETTER O
0x8F	0x041F	#CYRILLIC CAPITAL LETTER PE
0x90	0x0420	#CYRILLIC CAPITAL LETTER ER
0x91	0x0421	#CYRILLIC CAPITAL LETTER ES
0x92	0x0422	#CYRILLIC CAPITAL LETTER TE
0x93	0x0423	#CYRILLIC CAPITAL LETTER U
0x94	0x0424	#CYRILLIC CAPITAL LETTER EF
0x95	0x0425	#CYRILLIC CAPITAL LETTER HA
0x96	0x0426	#CYRILLIC CAPITAL LETTER TSE
0x97	0x0427	#CYRILLIC CAPITAL LETTER CHE
0x98	0x0428	#CYRILLIC CAPITAL LETTER SHA
0x99	0x0429	#CYRILLIC CAPITAL LETTER SHCHA
0x9A	0x042A	#CYRILLIC CAPITAL LETTER HARD SIGN
0x9B	0x042B	#CYRILLIC CAPITAL LETTER YERU
0x9C	0x042C	#CYRILLIC CAPITAL LETTER SOFT SIGN
0x9D	0x042D	#CYRILLIC CAPITAL LETTER E
0x9E	0x042E	#CYRILLIC CAPITAL LETTER YU
0x9F	0x042F	#CYRILLIC CAPITAL LETTER YA
0xA0	0x0430	#CYRILLIC SMALL LETTER A
0xA1	0x0431	#CYRILLIC SMALL LETTER BE
0xA2	0x0432	#CYRILLIC SMALL LETTER VE
0xA3	0x0433	#CYRILLIC SMALL LETTER GHE
0xA4	0x0434	#CYRILLIC SMALL LETTER DE
0xA5	0x0435	#CYRILLIC SMALL LETTER IE
0xA6	0x0436	#CYRILLIC SMALL LETTER ZHE
0xA7	0x0437	#CYRILLIC SMALL LETTER ZE
0xA8	0x0438	#CYRILLIC SMALL LETTER I
0xA9	0x0439	#CYRILLIC SMALL LETTER SHORT I
0xAA	0x043A	#CYRILLIC SMALL LETTER KA
0xAB	0x043B	#CYRILLIC SMALL LETTER EL
0xAC	0x043C	#CYRILLIC SMALL LETTER EM
0xAD	0x043D	#CYRILLIC SMALL LETTER EN
0xAE	0x043E	#CYRILLIC SMALL LETTER O
0xAF	0x043F	#CYRILLIC SMALL LETTER PE
0xB0	0x2591	#LIGHT SHADE
0xB1	0x2592	#MEDIUM SHADE
0xB2	0x2593	#DARK SHADE
0xB3	0x2502	#BOX DRAWINGS LIGHT VERTICAL
0xB4	0x2524	#BOX DRAWINGS LIGHT VERTICAL AND LEFT
0xB5	0x2561	#BOX DRAWINGS VERTICAL SINGLE AND LEFT DOUBLE
0xB6	0x2562	#BOX DRAWINGS VERTICAL DOUBLE AND LEFT SINGLE
0xB7	0x2556	#BOX DRAWINGS DOWN DOUBLE AND LEFT SINGLE
0xB8	0x2555	#BOX DRAWINGS DOWN SINGLE AND LEFT DOUBLE
0xB9	0x2563	#BOX DRAWINGS DOUBLE VERTICAL AND LEFT
0xBA	0x2551	#BOX DRAWINGS DOUBLE VERTICAL
0xBB	0x2557	#BOX DRAWINGS DOUBLE DOWN AND LEFT
0xBC	0x255D	#BOX DRAWINGS DOUBLE UP AND LEFT
0xBD	0x255C	#BOX DRAWINGS UP DOUBLE AND LEFT SINGLE
0xBE	0x255B	#BOX DRAWINGS UP SINGLE AND LEFT DOUBLE
0xBF	0x2510	#BOX DRAWINGS LIGHT DOWN AND LEFT
0xC0	0x2514	#BOX DRAWINGS LIGHT UP AND RIGHT
0xC1	0x2534	#BOX DRAWINGS LIGHT UP AND HORIZONTAL
0xC2	0x252C	#BOX DRAWINGS LIGHT DOWN AND HORIZONTAL
0xC3	0x251C	#BOX DRAWINGS LIGHT VERTICAL AND RIGHT
0xC4	0x2500	#BOX DRAWINGS LIGHT HORIZONTAL
0xC5	0x253C	#BOX DRAWINGS LIGHT VERTICAL AND HORIZONTAL
0xC6	0x255E	#BOX DRAWINGS VERTICAL SINGLE AND RIGHT DOUBLE
0xC7	0x255F	#BOX DRAWINGS VERTICAL DOUBLE AND RIGHT SINGLE
0xC8	0x255A	#BOX DRAWINGS DOUBLE UP AND RIGHT
0xC9	0x2554	#BOX DRAWINGS DOUBLE DOWN AND RIGHT
0xCA	0x2569	#BOX DRAWINGS DOUBLE UP AND HORIZONTAL
0xCB	0x2566	#BOX DRAWINGS DOUBLE DOWN AND HORIZONTAL
0xCC	0x2560	#BOX DRAWINGS DOUBLE VERTICAL AND RIGHT
0xCD	0x2550	#BOX DRAWINGS DOUBLE HORIZONTAL
0xCE	0x256C	#BOX DRAWINGS DOUBLE VERTICAL AND HORIZONTAL
0xCF	0x2567	#BOX DRAWINGS UP SINGLE AND HORIZONTAL DOUBLE
0xD0	0x2568	#BOX DRAWINGS UP DOUBLE AND HORIZONTAL SINGLE
0xD1	0x2564	#BOX DRAWINGS DOWN SINGLE AND HORIZONTAL DOUBLE
0xD2	0x2565	#BOX DRAWINGS DOWN DOUBLE AND HORIZONTAL SINGLE
0xD3	0x2559	#BOX DRAWINGS UP DOUBLE AND RIGHT SINGLE
0xD4	0x2558	#BOX DRAWINGS UP SINGLE AND RIGHT DOUBLE
0xD5	0x2552	#BOX DRAWINGS DOWN SINGLE AND RIGHT DOUBLE
0xD6	0x2553	#BOX DRAWINGS DOWN DOUBLE AND RIGHT SINGLE
0xD7	0x256B	#BOX DRAWINGS VERTICAL DOUBLE AND HORIZONTAL SINGLE
0xD8	0x256A	#BOX DRAWINGS VERTICAL SINGLE AND HORIZONTAL DOUBLE
0xD9	0x2518	#BOX DRAWINGS LIGHT UP AND LEFT
0xDA	0x250C	#BOX DRAWINGS LIGHT DOWN AND RIGHT
0xDB	0x2588	#FULL BLOCK
0xDC	0x2584	#LOWER HALF BLOCK
0xDD	0x258C	#LEFT HALF BLOCK
0xDE	0x2590	#RIGHT HALF BLOCK
0xDF	0x2580	#UPPER HALF BLOCK
0xE0	0x0440	#CYRILLIC SMALL LETTER ER
0xE1	0x0441	#CYRILLIC SMALL LETTER ES
0xE2	0x0442	#CYRILLIC SMALL LETTER TE
0xE3	0x0443	#CYRILLIC SMALL LETTER U
0xE4	0x0444	#CYRILLIC SMALL LETTER EF
0xE5	0x0445	#CYRILLIC SMALL LETTER HA
0xE6	0x0446	#CYRILLIC SMALL LETTER TSE
