# For details on windows-1256 see the Encoding Standard
# http://dvcs.w3.org/hg/encoding/raw-file/tip/Overview.html

0x00	0x0000
0x01	0x0001
0x02	0x0002
0x03	0x0003
0x04	0x0004
0x05	0x0005
0x06	0x0006
0x07	0x0007
0x08	0x0008
0x09	0x0009
0x0a	0x000a
0x0b	0x000b
0x0c	0x000c
0x0d	0x000d
0x0e	0x000e
0x0f	0x000f
0x10	0x0010
0x11	0x0011
0x12	0x0012
0x13	0x0013
0x14	0x0014
0x15	0x0015
0x16	0x0016
0x17	0x0017
0x18	0x0018
0x19	0x0019
0x1a	0x001a
0x1b	0x001b
0x1c	0x001c
0x1d	0x001d
0x1e	0x001e
0x1f	0x001f
0x20	0x0020
0x21	0x0021
0x22	0x0022
0x23	0x0023
0x24	0x0024
0x25	0x0025
0x26	0x0026
0x27	0x0027
0x28	0x0028
0x29	0x0029
0x2a	0x002a
0x2b	0x002b
0x2c	0x002c
0x2d	0x002d
0x2e	0x002e
0x2f	0x002f
0x30	0x0030
0x31	0x0031
0x32	0x0032
0x33	0x0033
0x34	0x0034
0x35	0x0035
0x36	0x0036
0x37	0x0037
0x38	0x0038
0x39	0x0039
0x3a	0x003a
0x3b	0x003b
0x3c	0x003c
0x3d	0x003d
0x3e	0x003e
0x3f	0x003f
0x40	0x0040
0x41	0x0041
0x42	0x0042
0x43	0x0043
0x44	0x0044
0x45	0x0045
0x46	0x0046
0x47	0x0047
0x48	0x0048
0x49	0x0049
0x4a	0x004a
0x4b	0x004b
0x4c	0x004c
0x4d	0x004d
0x4e	0x004e
0x4f	0x004f
0x50	0x0050
0x51	0x0051
0x52	0x0052
0x53	0x0053
0x54	0x0054
0x55	0x0055
0x56	0x0056
0x57	0x0057
0x58	0x0058
0x59	0x0059
0x5a	0x005a
0x5b	0x005b
0x5c	0x005c
0x5d	0x005d
0x5e	0x005e
0x5f	0x005f
0x60	0x0060
0x61	0x0061
0x62	0x0062
0x63	0x0063
0x64	0x0064
0x65	0x0065
0x66	0x0066
0x67	0x0067
0x68	0x0068
0x69	0x0069
0x6a	0x006a
0x6b	0x006b
0x6c	0x006c
0x6d	0x006d
0x6e	0x006e
0x6f	0x006f
0x70	0x0070
0x71	0x0071
0x72	0x0072
0x73	0x0073
0x74	0x0074
0x75	0x0075
0x76	0x0076
0x77	0x0077
0x78	0x0078
0x79	0x0079
0x7a	0x007a
0x7b	0x007b
0x7c	0x007c
0x7d	0x007d
0x7e	0x007e
0x7f	0x007f
0x80	0x20ac
0x81	0x067e
0x82	0x201a
0x83	0x0192
0x84	0x201e
0x85	0x2026
0x86	0x2020
0x87	0x2021
0x88	0x02c6
0x89	0x2030
0x8a	0x0679
0x8b	0x2039
0x8c	0x0152
0x8d	0x0686
0x8e	0x0698
0x8f	0x0688
0x90	0x06af
0x91	0x2018
0x92	0x2019
0x93	0x201c
0x94	0x201d
0x95	0x2022
0x96	0x2013
0x97	0x2014
0x98	0x06a9
0x99	0x2122
0x9a	0x0691
0x9b	0x203a
0x9c	0x0153
0x9d	0x200c
0x9e	0x200d
0x9f	0x06ba
0xa0	0x00a0
0xa1	0x060c
0xa2	0x00a2
0xa3	0x00a3
0xa4	0x00a4
0xa5	0x00a5
0xa6	0x00a6
0xa7	0x00a7
0xa8	0x00a8
0xa9	0x00a9
0xaa	0x06be
0xab	0x00ab
0xac	0x00ac
0xad	0x00ad
0xae	0x00ae
0xaf	0x00af
0xb0	0x00b0
0xb1	0x00b1
0xb2	0x00b2
0xb3	0x00b3
0xb4	0x00b4
0xb5	0x00b5
0xb6	0x00b6
0xb7	0x00b7
0xb8	0x00b8
0xb9	0x00b9
0xba	0x061b
0xbb	0x00bb
0xbc	0x00bc
0xbd	0x00bd
0xbe	0x00be
0xbf	0x061f
0xc0	0x06c1
0xc1	0x0621
0xc2	0x0622
0xc3	0x0623
0xc4	0x0624
0xc5	0x0625
0xc6	0x0626
0xc7	0x0627
0xc8	0x0628
0xc9	0x0629
0xca	0x062a
0xcb	0x062b
0xcc	0x062c
0xcd	0x062d
0xce	0x062e
0xcf	0x062f
0xd0	0x0630
0xd1	0x0631
0xd2	0x0632
0xd3	0x0633
0xd4	0x0634
0xd5	0x0635
0xd6	0x0636
0xd7	0x00d7
0xd8	0x0637
0xd9	0x0638
0xda	0x0639
0xdb	0x063a
0xdc	0x0640
0xdd	0x0641
0xde	0x0642
0xdf	0x0643
0xe0	0x00e0
0xe1	0x0644
0xe2	0x00e2
0xe3	0x0645
0xe4	0x0646
0xe5	0x0647
0xe6	0x0648
0xe7	0x00e7
0xe8	0x00e8
0xe9	0x00e9
0xea	0x00ea
0xeb	0x00eb
0xec	0x0649
0xed	0x064a
0xee	0x00ee
0xef	0x00ef
0xf0	0x064b
0xf1	0x064c
0xf2	0x064d
0xf3	0x064e
0xf4	0x00f4
0xf5	0x064f
0xf6	0x0650
0xf7	0x00f7
0xf8	0x0651
0xf9	0x00f9
0xfa	0x0652
0xfb	0x00fb
0xfc	0x00fc
0xfd	0x200e
0xfe	0x200f
0xff	0x06d2
